	SRR21726537_dairy1	SRR21726538_dairy2	SRR21726539_dairy3	SRR21726540_dairy4	SRR21726541_dairy5	SRR21726542_dairy6	SRR21726543_dairy7	SRR21726544_dairy8	SRR21726545_meat1	SRR21726546_meat2	SRR21726547_meat3	SRR21726548_meat4	SRR21726549_meat5	SRR21726550_meat6	SRR21726551_meat7	SRR21726552_meat8
ASV_310	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_311	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257
ASV_313	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_315	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_316	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_317	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0
ASV_318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255
ASV_319	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_320	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_321	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0
ASV_323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0
ASV_324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249
ASV_325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248
ASV_326	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_327	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0
ASV_328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0
ASV_329	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0
ASV_330	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0
ASV_331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244
ASV_332	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0
ASV_333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0
ASV_334	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_335	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	0
ASV_336	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0
ASV_337	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
